Time_s,Phase,Commanded_Steps,Brake_Pos,Brake_Pct,Brake_PSI,Pressure_mV,LoadCell_mV,RPM,Stall_Suspected
0.001,up,0.0,0,0.00,0.80,501.6,778.10,0.0,0
0.051,up,3.4,1,0.20,0.80,501.6,778.10,0.0,0
0.101,up,6.8,3,0.60,0.80,501.6,778.10,0.0,0
0.152,up,10.1,6,1.20,0.80,501.6,778.10,0.0,0
0.202,up,13.5,8,1.60,0.70,501.4,778.10,0.0,0
0.252,up,16.8,11,2.20,0.70,501.4,778.10,0.0,0
0.319,up,21.3,13,2.60,0.70,501.4,777.20,0.0,0
0.369,up,24.6,16,3.20,0.70,501.4,777.20,0.0,0
0.420,up,28.0,18,3.60,0.80,501.5,777.20,0.0,0
0.470,up,31.4,21,4.20,0.80,501.5,777.20,0.0,0
0.521,up,34.8,23,4.60,0.80,501.5,778.40,0.0,0
0.588,up,39.2,28,5.60,0.70,501.4,778.40,0.0,0
0.638,up,42.6,31,6.20,0.70,501.4,777.80,0.0,0
0.688,up,45.9,33,6.60,0.40,500.9,777.80,0.0,0
0.739,up,49.3,36,7.20,0.40,500.9,777.80,0.0,0
0.789,up,52.6,38,7.60,0.40,500.9,777.50,0.0,0
0.856,up,57.1,41,8.20,0.30,500.5,777.50,0.0,0
0.907,up,60.5,43,8.60,0.30,500.5,777.50,0.0,0
0.957,up,63.8,46,9.20,0.30,500.5,778.80,0.0,0
1.008,up,67.2,48,9.60,0.60,501.1,778.80,0.0,0
1.058,up,70.6,51,10.20,0.60,501.1,778.80,0.0,0
1.223,up,81.6,61,12.20,0.80,501.6,778.40,0.0,0
1.274,up,84.9,63,12.60,0.80,501.6,777.50,0.0,0
1.324,up,88.3,66,13.20,0.80,501.6,777.50,0.0,0
1.374,up,91.7,68,13.60,0.80,501.6,777.50,0.0,0
1.425,up,95.0,71,14.20,0.80,501.6,779.70,0.0,0
1.487,up,99.2,73,14.60,0.40,500.9,779.70,0.0,0
1.537,up,102.5,76,15.20,0.40,500.9,779.70,0.0,0
1.587,up,105.9,78,15.60,0.40,500.9,778.80,0.0,0
1.637,up,109.2,81,16.20,0.60,501.1,778.80,0.0,0
1.688,up,112.6,83,16.60,0.60,501.1,778.80,0.0,0
1.750,up,116.8,86,17.20,0.60,501.1,778.80,0.0,0
1.801,up,120.1,88,17.60,0.60,501.1,778.80,0.0,0
1.851,up,123.5,91,18.20,1.10,502.3,778.80,0.0,0
1.901,up,126.8,93,18.60,1.10,502.3,778.80,0.0,0
1.952,up,130.2,96,19.20,1.10,502.3,778.10,0.0,0
2.014,up,134.3,98,19.60,0.90,501.8,778.10,0.0,0
2.064,up,137.7,101,20.20,0.90,501.8,778.10,0.0,0
2.115,up,141.1,103,20.60,0.90,501.8,777.80,0.0,0
2.165,up,144.4,106,21.20,0.90,501.9,777.80,0.0,0
2.216,up,147.8,108,21.60,0.90,501.9,777.80,0.0,0
2.370,up,158.1,116,23.20,0.70,501.4,777.50,0.0,0
2.420,up,161.4,118,23.60,0.70,501.4,778.10,0.0,0
2.470,up,164.8,121,24.20,0.70,501.4,778.10,0.0,0
2.520,up,168.1,123,24.60,0.70,501.4,778.10,0.0,0
2.571,up,171.5,126,25.20,0.70,501.4,777.80,0.0,0
2.634,up,175.7,131,26.20,0.40,500.9,777.80,0.0,0
2.684,up,179.0,133,26.60,0.40,500.9,777.80,0.0,0
2.735,up,182.4,136,27.20,0.40,500.9,779.10,0.0,0
2.785,up,185.7,138,27.60,0.70,501.4,779.10,0.0,0
2.835,up,189.1,141,28.20,0.70,501.4,779.10,0.0,0
2.896,up,193.2,143,28.60,0.70,501.4,778.10,0.0,0
2.946,up,196.5,146,29.20,0.80,501.5,778.10,0.0,0
2.997,up,199.9,148,29.60,0.80,501.5,778.10,0.0,0
3.047,up,203.2,151,30.20,0.80,501.5,778.10,0.0,0
3.097,up,206.6,153,30.60,1.00,502.0,778.10,0.0,0
3.250,up,216.8,161,32.20,1.00,502.0,780.60,0.0,0
3.300,up,220.1,163,32.60,0.60,501.1,780.60,0.0,0
3.350,up,223.5,166,33.20,0.60,501.1,780.60,0.0,0
3.401,up,226.8,168,33.60,0.60,501.1,777.50,0.0,0
3.451,up,230.2,171,34.20,0.90,501.8,777.50,0.0,0
3.512,up,234.2,173,34.60,0.90,501.8,777.50,0.0,0
3.562,up,237.6,176,35.20,0.90,501.8,777.80,0.0,0
3.613,up,241.0,178,35.60,3.50,507.0,777.80,0.0,0
3.663,up,244.3,181,36.20,3.50,507.0,777.80,0.0,0
3.713,up,247.7,183,36.60,3.50,507.0,778.80,0.0,0
3.776,up,251.9,188,37.60,11.20,522.4,778.80,0.0,0
3.827,up,255.2,191,38.20,11.20,522.4,776.60,0.0,0
3.877,up,258.6,193,38.60,3.60,507.1,776.60,0.0,0
3.928,up,262.0,196,39.20,3.60,507.1,776.60,0.0,0
3.978,up,265.4,198,39.60,3.60,507.1,776.60,0.0,0
4.123,up,275.0,203,40.60,4.80,509.6,776.60,0.0,0
4.173,up,278.3,208,41.60,4.80,509.6,777.80,0.0,0
4.223,up,281.7,211,42.20,6.10,512.1,777.80,0.0,0
4.274,up,285.0,213,42.60,6.10,512.1,777.80,0.0,0
4.324,up,288.4,216,43.20,6.10,512.1,776.90,0.0,0
4.387,up,292.6,218,43.60,5.20,510.5,776.90,0.0,0
4.438,up,296.0,221,44.20,5.20,510.5,776.90,0.0,0
4.488,up,299.4,223,44.60,5.20,510.5,777.80,0.0,0
4.539,up,302.7,226,45.20,5.80,511.5,777.80,0.0,0
4.589,up,306.1,228,45.60,5.80,511.5,777.80,0.0,0
4.741,up,316.2,236,47.20,5.40,510.8,776.90,0.0,0
4.791,up,319.6,238,47.60,5.40,510.8,776.60,0.0,0
4.841,up,322.9,241,48.20,5.40,510.8,776.60,0.0,0
4.892,up,326.3,243,48.60,6.10,512.1,776.60,0.0,0
4.942,up,329.6,246,49.20,6.10,512.1,776.60,0.0,0
5.092,up,339.6,253,50.60,6.20,512.4,776.60,0.0,0
5.142,up,343.0,256,51.20,6.20,512.4,777.80,0.0,0
5.193,up,346.4,258,51.60,6.10,512.2,777.80,0.0,0
5.243,up,349.7,261,52.20,6.10,512.2,777.80,0.0,0
5.293,up,353.1,263,52.60,6.10,512.2,776.60,0.0,0
5.441,up,362.9,271,54.20,6.60,513.1,777.20,0.0,0
5.491,up,366.3,273,54.60,6.60,513.1,777.20,0.0,0
5.542,up,369.6,276,55.20,7.80,515.6,777.20,0.0,0
5.592,up,373.0,278,55.60,7.80,515.6,777.20,0.0,0
5.642,up,376.3,281,56.20,7.80,515.6,777.50,0.0,0
5.706,up,380.6,283,56.60,9.00,518.0,777.50,0.0,0
5.756,up,383.9,286,57.20,9.00,518.0,777.50,0.0,0
5.807,up,387.3,288,57.60,9.00,518.0,777.80,0.0,0
5.857,up,390.7,291,58.20,9.80,519.5,777.80,0.0,0
5.907,up,394.0,293,58.60,9.80,519.5,777.80,0.0,0
5.972,up,398.3,296,59.20,9.80,519.5,777.80,0.0,0
6.022,up,401.7,298,59.60,10.80,521.6,777.80,0.0,0
6.072,up,405.0,301,60.20,10.80,521.6,777.80,0.0,0
6.123,up,408.4,306,61.20,11.10,522.2,777.20,0.0,0
6.173,up,411.7,308,61.60,11.10,522.2,777.20,0.0,0
6.347,up,423.4,316,63.20,12.50,525.0,777.80,0.0,0
6.398,up,426.7,318,63.60,12.50,525.0,777.80,0.0,0
6.449,up,430.1,321,64.20,12.50,525.0,776.90,0.0,0
6.499,up,433.5,323,64.60,13.30,526.5,776.90,0.0,0
6.550,up,436.9,326,65.20,13.30,526.5,776.90,0.0,0
6.610,up,440.9,328,65.60,13.30,526.5,776.90,0.0,0
6.660,up,444.2,331,66.20,14.70,529.4,776.90,0.0,0
6.710,up,447.6,333,66.60,14.70,529.4,776.90,0.0,0
6.760,up,450.9,336,67.20,14.70,529.4,776.60,0.0,0
6.811,up,454.3,338,67.60,15.30,530.6,776.60,0.0,0
6.877,up,458.7,343,68.60,15.30,530.6,776.20,0.0,0
6.927,up,462.0,346,69.20,15.30,530.6,776.20,0.0,0
6.977,up,465.4,348,69.60,17.10,534.2,776.20,0.0,0
7.028,up,468.7,351,70.20,17.10,534.2,776.20,0.0,0
7.078,up,472.1,353,70.60,17.10,534.2,776.60,0.0,0
7.230,up,482.3,361,72.20,18.40,536.9,777.20,0.0,0
7.281,up,485.6,363,72.60,19.90,539.8,777.20,0.0,0
7.331,up,489.0,366,73.20,19.90,539.8,777.20,0.0,0
7.381,up,492.3,368,73.60,19.90,539.8,775.90,0.0,0
7.432,up,495.7,371,74.20,21.50,543.0,775.90,0.0,0
7.587,up,506.1,378,75.60,32.10,564.1,776.90,0.0,0
7.638,up,509.4,381,76.20,32.10,564.1,776.90,0.0,0
7.688,up,512.8,383,76.60,32.10,564.1,777.50,0.0,0
7.738,up,516.1,386,77.20,32.10,564.1,777.50,0.0,0
7.788,up,519.5,388,77.60,41.20,582.4,777.50,0.0,0
7.944,up,529.9,396,79.20,56.10,612.1,777.50,0.0,0
7.994,up,533.2,398,79.60,56.10,612.1,777.50,0.0,0
8.045,up,536.6,401,80.20,56.10,612.1,777.50,0.0,0
8.095,up,539.9,403,80.60,73.30,646.6,777.50,0.0,0
8.145,up,543.3,406,81.20,73.30,646.6,777.50,0.0,0
8.209,up,547.6,408,81.60,73.30,646.6,777.20,0.0,0
8.260,up,550.9,411,82.20,92.50,685.0,777.20,0.0,0
8.310,up,554.3,413,82.60,92.50,685.0,777.20,0.0,0
8.360,up,557.6,416,83.20,92.50,685.0,777.80,0.0,0
8.411,up,561.0,418,83.60,92.50,685.0,777.80,0.0,0
