"# filter=YourDyno Binned (J1349) params={'alpha': 0.2, 'window': 20, 'polyorder': 3, 'tau': 50.0, 'degree': 2} rpm_bin=100 units=lb-ft"
RPM,Torque_raw_lb-ft,Torque_filt_lb-ft,HP_raw,HP_filt
1500.0,2.221,10.615,0.63,3.03
1600.0,4.367,12.732,1.33,3.88
1700.0,11.541,13.328,3.74,4.31
1800.0,24.331,14.567,8.34,4.99
1900.0,21.201,17.418,7.67,6.30
2000.0,16.307,20.482,6.21,7.80
2100.0,22.001,21.288,8.80,8.51
2200.0,22.178,20.457,9.29,8.57
2300.0,25.816,20.943,11.31,9.17
2400.0,17.182,20.361,7.85,9.30
2500.0,18.514,19.434,8.81,9.25
2600.0,24.602,18.994,12.18,9.40
2700.0,12.237,19.147,6.29,9.84
2800.0,15.510,19.475,8.27,10.38
2900.0,19.096,19.667,10.54,10.86
3000.0,26.892,18.434,15.36,10.53
